"(Intercept)";"MODPresencial";"d_notNoturno";"c_idade";"d_sexfFeminino";"d_etniaBranco ou amarelo";"dedicH1h a 3h";"dedicH4h a 7h";"dedicH8h a 12h";"dedicHMais d 12h";"livrosUm ou dois";"livrosTrês a cinco";"livrosSeis a oito";"livrosMais de oito";"d_ecivilSolteiro";"renda1,5 a 3 SM";"renda3 a 4,5 SM";"renda4,5 a 6 SM";"renda6 a 10 SM";"renda10 a 30 SM";"rendaMais de 30 SM";"d_afirmIngressou por PAA";"d_bolsaBolsista";"escpubEM esc pública";"d_morasoMora sozinho";"cat_admPública";"org_acadUniversidade";"regiao_cursoNordeste";"regiao_cursoSudeste";"regiao_cursoSul";"regiao_cursoCentro-oeste";"np_infra";"np_me";"np_dr";"np_rt";"idade_M";"renda_IES";"MODPresencial:d_notNoturno";"MODPresencial:c_idade";"MODPresencial:d_etniaBranco ou amarelo";"MODPresencial:renda_IES"
"(Intercept)";18,62;-13,5;-0,99;0;0;-0,05;-0,02;-0,02;-0,03;-0,01;-0,02;-0,02;-0,03;-0,02;-0,01;-0,04;-0,04;-0,04;-0,04;-0,04;-0,03;-0,01;-0,01;-0,03;-0,01;-0,41;-0,04;-0,17;-0,45;-0,44;-0,49;-0,11;-0,01;0,04;-0,05;-0,16;-4,42;1;0;0,05;4,54
"MODPresencial";-13,5;13,09;0,98;0;0;0,05;0;0;0,01;-0,01;0;0;0;0;0;0;0;0;0;-0,01;-0,02;0,01;0;0;0;0,05;0,07;-0,12;0,07;0,07;0,09;0,01;0,01;-0,02;0;0,04;4,36;-1,08;0;-0,05;-4,59
"d_notNoturno";-0,99;0,98;0,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;-0,01;0;0,01;0,01;0,01;0,01;0;-0,01;0;0;0;0,14;-0,86;0;0;-0,14
"c_idade";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"d_sexfFeminino";0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"d_etniaBranco ou amarelo";-0,05;0,05;0;0;0;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,01;0;0;-0,11;0,01
"dedicH1h a 3h";-0,02;0;0;0;0;0;0,04;0,03;0,03;0,03;-0,01;-0,01;-0,01;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dedicH4h a 7h";-0,02;0;0;0;0;0;0,03;0,05;0,03;0,03;-0,01;-0,01;-0,01;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dedicH8h a 12h";-0,03;0,01;0;0;0;0;0,03;0,03;0,09;0,04;-0,01;-0,01;-0,01;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dedicHMais d 12h";-0,01;-0,01;0;0;0;0;0,03;0,03;0,04;0,13;-0,01;-0,01;-0,01;-0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"livrosUm ou dois";-0,02;0;0;0;0;0;-0,01;-0,01;-0,01;-0,01;0,03;0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"livrosTrês a cinco";-0,02;0;0;0;0;0;-0,01;-0,01;-0,01;-0,01;0,03;0,04;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
