"(Intercept)";"cat_admPública";"org_acadUniversidade";"regiao_cursoNordeste";"regiao_cursoSudeste";"regiao_cursoSul";"regiao_cursoCentro-oeste";"np_infra";"np_me";"np_dr";"np_rt";"idade_M";"renda_IES"
"(Intercept)";3,5;-0,22;0,05;-0,24;-0,32;-0,34;-0,25;-0,11;0;0,02;-0,06;-0,09;-0,05
"cat_admPública";-0,22;0,3;-0,11;0;0,04;0,04;0,02;0,02;0,01;0;-0,01;0,01;-0,02
"org_acadUniversidade";0,05;-0,11;0,18;-0,01;-0,01;-0,02;0;0;0;-0,01;0;0;-0,02
"regiao_cursoNordeste";-0,24;0;-0,01;0,33;0,23;0,23;0,22;0,01;-0,01;0;0,01;0;0,01
"regiao_cursoSudeste";-0,32;0,04;-0,01;0,23;0,3;0,26;0,24;0,01;-0,01;0;0,01;0;-0,03
"regiao_cursoSul";-0,34;0,04;-0,02;0,23;0,26;0,37;0,24;0,01;-0,01;0;0,01;0;-0,05
"regiao_cursoCentro-oeste";-0,25;0,02;0;0,22;0,24;0,24;0,4;0,01;0;0;0;0;-0,02
"np_infra";-0,11;0,02;0;0,01;0,01;0,01;0,01;0,02;0;0;0;0;-0,01
"np_me";0;0,01;0;-0,01;-0,01;-0,01;0;0;0,02;-0,01;-0,01;0;-0,01
"np_dr";0,02;0;-0,01;0;0;0;0;0;-0,01;0,03;0;0;0
"np_rt";-0,06;-0,01;0;0,01;0,01;0,01;0;0;-0,01;0;0,02;0;0
"idade_M";-0,09;0,01;0;0;0;0;0;0;0;0;0;0;0
"renda_IES";-0,05;-0,02;-0,02;0,01;-0,03;-0,05;-0,02;-0,01;-0,01;0;0;0;0,09
