"(Intercept)";"MODPresencial";"d_notNoturno";"c_idade";"d_sexfFeminino";"d_etniaBranco ou amarelo";"dedicH1h a 3h";"dedicH4h a 7h";"dedicH8h a 12h";"dedicHMais d 12h";"livrosUm ou dois";"livrosTrês a cinco";"livrosSeis a oito";"livrosMais de oito";"d_ecivilSolteiro";"renda1,5 a 3 SM";"renda3 a 4,5 SM";"renda4,5 a 6 SM";"renda6 a 10 SM";"renda10 a 30 SM";"rendaMais de 30 SM";"d_afirmIngressou por PAA";"d_bolsaBolsista";"escpubEM esc pública";"d_morasoMora sozinho";"cat_admPública";"org_acadUniversidade";"regiao_cursoNordeste";"regiao_cursoSudeste";"regiao_cursoSul";"regiao_cursoCentro-oeste";"np_infra";"np_me";"np_dr";"np_rt";"idade_M";"renda_IES";"MODPresencial:d_notNoturno";"MODPresencial:c_idade";"MODPresencial:d_etniaBranco ou amarelo";"MODPresencial:renda_IES"
"(Intercept)";7,61;-3,46;-0,46;0;-0,01;0;-0,03;-0,03;-0,02;-0,02;-0,01;-0,02;-0,02;-0,02;-0,01;-0,03;-0,02;-0,03;-0,02;-0,02;-0,02;0;-0,01;-0,03;-0,01;-0,25;0,02;-0,26;-0,34;-0,35;-0,34;-0,1;0;0,03;-0,06;-0,11;-1,3;0,46;0;0;1,2
"MODPresencial";-3,46;3,47;0,42;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;-0,01;-0,02;0;0;0;0;-0,02;0,02;0;0,02;0,02;0,02;0;0;0;0;0;1,19;-0,5;0;-0,01;-1,21
"d_notNoturno";-0,46;0,42;0,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;-0,38;0;0;-0,03
"c_idade";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"d_sexfFeminino";-0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"d_etniaBranco ou amarelo";0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,01;0;0;-0,05;0,01
"dedicH1h a 3h";-0,03;0;0;0;0;0;0,04;0,04;0,04;0,04;-0,01;-0,01;-0,01;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dedicH4h a 7h";-0,03;0;0;0;0;0;0,04;0,05;0,04;0,04;-0,01;-0,01;-0,01;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dedicH8h a 12h";-0,02;0;0;0;0;0;0,04;0,04;0,07;0,04;-0,01;-0,01;-0,01;-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dedicHMais d 12h";-0,02;0;0;0;0;0;0,04;0,04;0,04;0,08;-0,01;-0,01;-0,01;-0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"livrosUm ou dois";-0,01;0;0;0;0;0;-0,01;-0,01;-0,01;-0,01;0,03;0,02;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"livrosTrês a cinco";-0,02;0;0;0;0;0;-0,01;-0,01;-0,01;-0,01;0,02;0,03;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"livrosSeis a oito";-0,02;0,01;0;0;0;0;-0,01;-0,01;-0,01;-0,01;0,02;0,02;0,05;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"livrosMais de oito";-0,02;0,01;0;0;0;0;-0,01;-0,01;-0,01;-0,02;0,02;0,02;0,02;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"d_ecivilSolteiro";-0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"renda1,5 a 3 SM";-0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"renda3 a 4,5 SM";-0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,04;0,03;0,03;0,03;0,03;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"renda4,5 a 6 SM";-0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,03;0,05;0,03;0,03;0,03;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"renda6 a 10 SM";-0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,03;0,03;0,05;0,03;0,04;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;-0,01;0;0;0;0
