"(Intercept)";"cat_admPública";"org_acadUniversidade";"regiao_cursoNordeste";"regiao_cursoSudeste";"regiao_cursoSul";"regiao_cursoCentro-oeste";"np_infra";"np_me";"np_dr";"np_rt";"idade_M";"renda_IES"
"(Intercept)";4,36;-0,36;0,07;-0,29;-0,38;-0,38;-0,39;-0,1;0;0,02;-0,05;-0,12;-0,1
"cat_admPública";-0,36;0,33;-0,09;0;0,03;0;0,02;0,03;0,01;0;-0,02;0,01;-0,01
"org_acadUniversidade";0,07;-0,09;0,18;-0,01;-0,01;-0,02;-0,01;0,01;-0,01;0;0;0;-0,02
"regiao_cursoNordeste";-0,29;0;-0,01;0,4;0,28;0,28;0,28;0,01;-0,01;0;0;0;0,01
"regiao_cursoSudeste";-0,38;0,03;-0,01;0,28;0,36;0,3;0,29;0;-0,01;0;0,01;0;-0,02
"regiao_cursoSul";-0,38;0;-0,02;0,28;0,3;0,42;0,29;-0,01;-0,01;0;0,01;0,01;-0,02
"regiao_cursoCentro-oeste";-0,39;0,02;-0,01;0,28;0,29;0,29;0,45;0;0;0;0;0;-0,01
"np_infra";-0,1;0,03;0,01;0,01;0;-0,01;0;0,02;0;0;0;0;-0,01
"np_me";0;0,01;-0,01;-0,01;-0,01;-0,01;0;0;0,03;-0,01;-0,01;0;-0,01
"np_dr";0,02;0;0;0;0;0;0;0;-0,01;0,02;0;0;0
"np_rt";-0,05;-0,02;0;0;0,01;0,01;0;0;-0,01;0;0,02;0;0,01
"idade_M";-0,12;0,01;0;0;0;0,01;0;0;0;0;0;0;0
"renda_IES";-0,1;-0,01;-0,02;0,01;-0,02;-0,02;-0,01;-0,01;-0,01;0;0,01;0;0,09
